elevation,location
68.96546173,"(42.8203984022532, -73.9442417976581)"
68.98923492,"(42.82040838554386, -73.94425431657976)"
69.04240417,"(42.82041836883317, -73.94426683550546)"
69.11975861,"(42.82042835212111, -73.94427935443525)"
69.18080902,"(42.82043833540769, -73.94429187336902)"
69.22515106,"(42.8204483186929, -73.94430439230689)"
69.25282288,"(42.82045830197674, -73.94431691124873)"
69.37132263,"(42.82046828525922, -73.94432943019467)"
69.47605133,"(42.82047826854034, -73.94434194914464)"
69.54653931,"(42.82048825182009, -73.94435446809871)"
69.59437561,"(42.82049823509849, -73.94436698705675)"
69.66307831,"(42.82050821837551, -73.94437950601883)"
69.7364502,"(42.82051820165118, -73.94439202498495)"
69.79572296,"(42.82052818492547, -73.94440454395516)"
69.84069824,"(42.82053816819842, -73.9444170629294)"
69.88757324,"(42.82054815146999, -73.94442958190768)"
69.93818665,"(42.8205581347402, -73.94444210089)"
69.96265411,"(42.82056811800904, -73.94445461987635)"
69.96097565,"(42.82057810127653, -73.94446713886674)"
69.93587494,"(42.82058808454265, -73.94447965786117)"
69.94753265,"(42.8205980678074, -73.94449217685968)"
69.95205688,"(42.82060805107079, -73.94450469586218)"
69.95580292,"(42.82061803433282, -73.94451721486877)"
69.95815277,"(42.82062801759349, -73.94452973387939)"
69.96548462,"(42.82063800085278, -73.94454225289405)"
69.97524261,"(42.82064798411072, -73.94455477191275)"
69.98947906,"(42.82065796736729, -73.94456729093548)"
70.001297,"(42.8206679506225, -73.9445798099623)"
70.04855347,"(42.82067793387634, -73.94459232899311)"
70.16011047,"(42.82068791712883, -73.94460484802795)"
70.27941895,"(42.82069790037995, -73.94461736706688)"
70.41452789,"(42.82070827216768, -73.94462927726272)"
70.39788818,"(42.82071874743219, -73.94464102531032)"
69.9343338,"(42.82072922269548, -73.94465277336195)"
69.42896271,"(42.82073969795758, -73.94466452141756)"
68.88178253,"(42.82075017321848, -73.94467626947716)"
68.22344971,"(42.82076064847817, -73.94468801754067)"
67.20794678,"(42.82077112373666, -73.94469976560822)"
66.16828156,"(42.82078159899396, -73.94471151367975)"
65.10445404,"(42.82079207425006, -73.94472326175526)"
64.30548096,"(42.82080254950495, -73.94473500983474)"
64.21060944,"(42.82081302475864, -73.94474675791821)"
64.12822723,"(42.82082350001113, -73.94475850600566)"
64.05820465,"(42.82083397526242, -73.94477025409708)"
64.00094604,"(42.82084445051251, -73.94478200219248)"
64,"(42.8208549257614, -73.94479375029186)"
64,"(42.82086540100909, -73.94480549839528)"
64,"(42.82087587625558, -73.94481724650262)"
64,"(42.82088635150086, -73.94482899461394)"
64,"(42.82089682674494, -73.94484074272924)"
64,"(42.82090730198783, -73.94485249084858)"
64,"(42.82091777722951, -73.94486423897183)"
64,"(42.82092825246999, -73.94487598709907)"
64,"(42.82093872770926, -73.94488773523034)"
64,"(42.82094920294734, -73.94489948336553)"
64,"(42.82095967818422, -73.94491123150476)"
64,"(42.8209701534199, -73.94492297964791)"
64,"(42.82098062865438, -73.94493472779504)"
64,"(42.82099110388766, -73.94494647594621)"
64,"(42.82100157911972, -73.94495822410136)"
64,"(42.8210120543506, -73.94496997226042)"
64,"(42.82102252958028, -73.94498172042353)"
64,"(42.82103300480875, -73.94499346859061)"
64,"(42.82104348003602, -73.94500521676161)"
64,"(42.82105395526209, -73.94501696493666)"
64,"(42.82106443048696, -73.94502871311568)"
64,"(42.82107490571062, -73.94504046129862)"
64,"(42.82108538093308, -73.9450522094856)"
64,"(42.82109585615436, -73.94506395767655)"
64,"(42.82110633137442, -73.94507570587149)"
64,"(42.82111680659329, -73.9450874540704)"
64,"(42.82112728181095, -73.9450992022733)"
64,"(42.82113775702742, -73.94511095048017)"
64,"(42.82114823224267, -73.94512269869102)"
64,"(42.82115870745673, -73.94513444690585)"
64,"(42.82116918266959, -73.94514619512466)"
64,"(42.82117965788125, -73.94515794334745)"
64,"(42.82119013309171, -73.94516969157422)"
64,"(42.82120060830097, -73.94518143980497)"
64,"(42.82121108350902, -73.94519318803975)"
64,"(42.82122155871587, -73.94520493627846)"
64,"(42.82123203392153, -73.94521668452114)"
64,"(42.82124250912598, -73.94522843276786)"
64,"(42.82125298432923, -73.9452401810185)"
64,"(42.82126345953127, -73.94525192927313)"
64,"(42.82127393473213, -73.94526367753178)"
64,"(42.82128440993178, -73.94527542579436)"
64,"(42.82129488513023, -73.94528717406092)"
64,"(42.82130536032747, -73.94529892233152)"
64,"(42.82131583552351, -73.94531067060609)"
64,"(42.82132631071836, -73.94532241888459)"
64,"(42.82133678591201, -73.94533416716712)"
64,"(42.82134726110445, -73.94534591545357)"
64,"(42.82135773629568, -73.94535766374406)"
64,"(42.82136821148572, -73.94536941203853)"
64,"(42.82137868667456, -73.94538116033698)"
64,"(42.82138916186221, -73.9453929086394)"
64,"(42.82139963704864, -73.94540465694575)"
64,"(42.82141011223388, -73.94541640525614)"
64,"(42.82142058741792, -73.9454281535705)"
64,"(42.82143106260074, -73.94543990188885)"
64,"(42.82144153778238, -73.94545165021117)"
64,"(42.82145201296282, -73.94546339853747)"
64,"(42.82146248814205, -73.94547514686775)"
64,"(42.82147296332008, -73.94548689520201)"
64,"(42.82148343849691, -73.94549864354025)"
64,"(42.82149391367254, -73.94551039188246)"
64,"(42.82150438884696, -73.94552214022866)"
64,"(42.82151486402019, -73.94553388857884)"
64,"(42.82152533919221, -73.94554563693305)"
64,"(42.82153581436304, -73.94555738529118)"
64,"(42.82154628953266, -73.9455691336533)"
64,"(42.82155676470109, -73.94558088201939)"
64,"(42.8215672398683, -73.94559263038951)"
64,"(42.82157771503432, -73.94560437876356)"
64,"(42.82158819019915, -73.94561612714165)"
64,"(42.82159866536276, -73.94562787552366)"
64,"(42.82160914052518, -73.94563962390964)"
64,"(42.82161961568639, -73.94565137229966)"
64,"(42.82163009084641, -73.94566312069367)"
64,"(42.82164056600523, -73.94567486909159)"
64,"(42.82165104116284, -73.94568661749355)"
64,"(42.82166151631925, -73.94569836589943)"
64,"(42.82167199147446, -73.94571011430935)"
64,"(42.82168246662847, -73.94572186272325)"
64,"(42.82169294178129, -73.94573361114112)"
64,"(42.82170341693289, -73.94574535956292)"
64,"(42.82171389208331, -73.94575710798875)"
64,"(42.8217243672325, -73.94576885641857)"
64,"(42.82173484238051, -73.94578060485236)"
64,"(42.82174531752731, -73.94579235329013)"
64,"(42.82175579267292, -73.94580410173188)"
64,"(42.82176626781732, -73.94581585017761)"
64,"(42.82177674296052, -73.94582759862732)"
64,"(42.82178721810252, -73.945839347081)"
64,"(42.82179769324333, -73.94585109553867)"
64,"(42.82180816838292, -73.94586284400032)"
64,"(42.82181864352131, -73.94587459246594)"
64,"(42.82182911865851, -73.94588634093554)"
64,"(42.82183959379451, -73.94589808940918)"
64,"(42.82185006892929, -73.94590983788675)"
64,"(42.82186054406289, -73.94592158636829)"
64,"(42.82187101919529, -73.94593333485386)"
64,"(42.82188149432648, -73.94594508334336)"
64,"(42.82189196945647, -73.94595683183684)"
64,"(42.82190244458526, -73.94596858033435)"
64.03247833,"(42.82191291971284, -73.94598032883584)"
64.10572815,"(42.82192339483923, -73.94599207734126)"
64.23434448,"(42.82193386996442, -73.94600382585065)"
64.41403198,"(42.8219443450884, -73.94601557436408)"
64.64998627,"(42.82195482021118, -73.94602732288149)"
64.96704865,"(42.82196529533276, -73.94603907140288)"
65.33867645,"(42.82197577045314, -73.94605081992819)"
65.70657349,"(42.82198624557233, -73.94606256845753)"
66.05955505,"(42.82199672069031, -73.9460743169908)"
66.40114594,"(42.82200719580709, -73.9460860655281)"
66.71932983,"(42.82201767092266, -73.94609781406939)"
66.99679565,"(42.82202814603704, -73.94610956261465)"
67.24723053,"(42.82203862115021, -73.94612131116389)"
67.45573425,"(42.82204909626218, -73.94613305971711)"
67.60084534,"(42.82205957137296, -73.94614480827431)"
67.7294693,"(42.82207004648253, -73.94615655683549)"
67.85579681,"(42.82208052159091, -73.94616830540065)"
67.97535706,"(42.82209099669807, -73.94618005396978)"
